,Document Date,Year/Month,Year,Month,supplier delivery date,delivery date,Company Code,Country,Purchasing Doc.,Item,Purchasing Org.,Plant,Supplier,Supplier name,Postal code,Street,City,"Supplier
country",Material,Material Short Text,Material Group,Material Group Text,Order Unit,Net price,ORDERED Quantity,Delivered QTY,open quantity,deviation indicator,deviation cause,deviation cause text,Net Value,Local Currency,Counter,Delivery deviation in days
0,2019-02-28,,2019,2,2019-03-07,2019-03-07,52,AT,8207406178,1,5200,51,34295609,SEFREN CEBIN FRENCE,31770,12 AVENUE JEAN MERMOZ,COLOMIERS,FR,53286294,H379001-101 RAIL KIT UNDERBIN OVI,4017,Geraete ATA 25-3 Furnishing Pax Compartment,ST,672.0,10.0,7.0,3,in time,3,under-delivery,6720.0,EUR,1,0.0
1,2019-02-28,,2019,2,2019-03-07,2019-03-07,52,AT,8207406178,2,5200,51,34295609,SEFREN CEBIN FRENCE,31770,12 AVENUE JEAN MERMOZ,COLOMIERS,FR,53803787,H374001-105 MCD RAIL KIT OVI,4017,Geraete ATA 25-3 Furnishing Pax Compartment,ST,1816.2,10.0,7.0,3,in time,3,under-delivery,18162.0,EUR,1,0.0
2,2019-02-28,,2019,2,2019-03-07,2019-03-07,52,AT,8207406178,3,5200,51,34295609,SEFREN CEBIN FRENCE,31770,12 AVENUE JEAN MERMOZ,COLOMIERS,FR,53545566,H374001-103 MCD RAIL KIT OVI,4017,Geraete ATA 25-3 Furnishing Pax Compartment,ST,571.0,10.0,7.0,3,in time,3,under-delivery,5710.0,EUR,1,0.0
3,2019-02-28,,2019,2,2019-03-07,2019-03-07,52,AT,8207406178,4,5200,51,34295609,SEFREN CEBIN FRENCE,31770,12 AVENUE JEAN MERMOZ,COLOMIERS,FR,54078469,H374001-109 MCD RAIL KIT OVI,4017,Geraete ATA 25-3 Furnishing Pax Compartment,ST,2989.0,10.0,7.0,3,in time,3,under-delivery,29890.0,EUR,1,0.0
4,2019-02-28,,2019,2,2019-03-07,2019-03-07,52,AT,8207406178,5,5200,51,34295609,SEFREN CEBIN FRENCE,31770,12 AVENUE JEAN MERMOZ,COLOMIERS,FR,53286294,H379001-101 RAIL KIT UNDERBIN OVI,4017,Geraete ATA 25-3 Furnishing Pax Compartment,ST,742.0,13.0,10.0,3,in time,3,under-delivery,9646.0,EUR,1,0.0
5,2019-05-16,,2019,5,2019-05-23,2019-05-23,52,AT,8207532281,1,5200,51,34305177,EIRSIGNE GMBH & CU KG,59557,BERTRAMSTR. 8,LIPPSTADT,DE,87266630,"F1000640-00 LEUCHTE,NOT-",4245,Geraete ATA 33-0 Lights,ST,88.47,18.0,15.0,3,in time,3,under-delivery,1592.46,EUR,1,0.0
6,2019-05-16,,2019,5,2019-05-23,2019-05-23,52,AT,8207532281,2,5200,51,34305177,EIRSIGNE GMBH & CU KG,59557,BERTRAMSTR. 8,LIPPSTADT,DE,89439965,F1000600-64 LICHTSCHEIBE EXIT,4245,Geraete ATA 33-0 Lights,ST,29.97,14.0,11.0,3,in time,3,under-delivery,419.58,EUR,1,0.0
7,2019-05-16,,2019,5,2019-05-23,2019-05-23,52,AT,8207532281,3,5200,51,34305177,EIRSIGNE GMBH & CU KG,59557,BERTRAMSTR. 8,LIPPSTADT,DE,87571157,F1000660-00 LICHTSCHEIBE,4245,Geraete ATA 33-0 Lights,ST,15.69,12.0,9.0,3,in time,3,under-delivery,188.28,EUR,1,0.0
8,2019-05-17,,2019,5,2019-05-24,2019-05-24,52,AT,8207534623,1,5200,51,34295609,SEFREN CEBIN FRENCE,31770,12 AVENUE JEAN MERMOZ,COLOMIERS,FR,53286273,H374001-101 MCD RAIL KIT OVI,4017,Geraete ATA 25-3 Furnishing Pax Compartment,ST,571.0,10.0,7.0,3,in time,3,under-delivery,5710.0,EUR,1,0.0
9,2019-05-17,,2019,5,2019-05-24,2019-05-24,52,AT,8207534623,2,5200,51,34295609,SEFREN CEBIN FRENCE,31770,12 AVENUE JEAN MERMOZ,COLOMIERS,FR,53286294,H379001-101 RAIL KIT UNDERBIN OVI,4017,Geraete ATA 25-3 Furnishing Pax Compartment,ST,672.0,10.0,7.0,3,in time,3,under-delivery,6720.0,EUR,1,0.0
10,2019-06-18,,2019,6,2019-06-25,2019-06-25,52,AT,8207580577,1,5200,51,34295609,SEFREN CEBIN FRENCE,31770,12 AVENUE JEAN MERMOZ,COLOMIERS,FR,53286273,H374001-101 MCD RAIL KIT OVI,4017,Geraete ATA 25-3 Furnishing Pax Compartment,ST,571.0,11.0,8.0,3,in time,3,under-delivery,6281.0,EUR,1,0.0
11,2019-07-01,,2019,7,2019-07-08,2019-07-14,52,AT,8207597429,1,5200,51,315483,GUUDRICH LIGHTING SYSTEMS,59557,BERTRAMSTR. 8,LIPPSTADT,DE,50609083,2LA455961-12 STA LED RL LO TH,4245,Geraete ATA 33-0 Lights,ST,43.4,11.0,8.0,3,late: 5 to 10 days,7,delivery deviation - too late,477.4,EUR,1,6.0
12,2019-07-24,,2019,7,2019-07-31,2019-07-31,52,AT,8207639314,1,5200,51,34295609,SEFREN CEBIN FRENCE,31770,12 AVENUE JEAN MERMOZ,COLOMIERS,FR,53286273,H374001-101 MCD RAIL KIT OVI,4017,Geraete ATA 25-3 Furnishing Pax Compartment,ST,609.0,10.0,7.0,3,in time,3,under-delivery,6090.0,EUR,1,0.0
